transaction_id,sender_account,receiver_account,amount,timestamp,debit_status,credit_status,account_valid,beneficiary_match,retry_count,transaction_type,error_label
TXN000141,44315117,85619348,752000,2026-07-23 05:40:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000142,40390895,11910110,304000,2026-07-23 05:50:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000143,41449541,33643206,37000,2026-07-23 06:00:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000144,57038405,19265829,88000,2026-07-23 06:10:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000145,51554929,18887992,41000,2026-07-23 06:20:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000146,73622663,69991293,913000,2026-07-23 06:30:00,Success,Failed,True,False,0,Bank Transfer,Beneficiary Mismatch
TXN000147,75168897,15422824,901000,2026-07-23 06:40:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000148,99830588,75238030,632000,2026-07-23 06:50:00,Success,Failed,True,False,0,Bank Transfer,Beneficiary Mismatch
TXN000149,12174566,12263266,852000,2026-07-23 07:00:00,Success,Pending,True,True,0,Bank Transfer,Pending Settlement
TXN000150,91296447,84035048,666000,2026-07-23 07:10:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000151,72558862,48871271,670000,2026-07-23 07:20:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000152,45964892,58468384,71000,2026-07-23 07:30:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000153,15918255,70922517,253000,2026-07-23 07:40:00,Success,Failed,True,False,0,Bank Transfer,Beneficiary Mismatch
TXN000154,96032645,44008604,712000,2026-07-23 07:50:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000155,58770336,36842761,397000,2026-07-23 08:00:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000156,16300829,75293455,47000,2026-07-23 08:10:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000157,96019572,18098787,219000,2026-07-23 08:20:00,Success,Failed,True,False,0,Bank Transfer,Beneficiary Mismatch
TXN000158,40004985,89620264,910000,2026-07-23 08:30:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000159,42743720,18586359,578000,2026-07-23 08:40:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000160,24576073,76162808,915000,2026-07-23 08:50:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000161,22621853,94885250,448000,2026-07-23 09:00:00,Success,Pending,True,True,0,Bank Transfer,Pending Settlement
TXN000162,19112279,66692777,727000,2026-07-23 09:10:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000163,76639364,81574169,600000,2026-07-23 09:20:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000164,65275579,49649025,987000,2026-07-23 09:30:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000165,30232704,62126275,766000,2026-07-23 09:40:00,Success,Failed,True,True,1,Bank Transfer,Partial Processing
TXN000166,60389187,90683497,49000,2026-07-23 09:50:00,Success,Failed,True,True,1,Bank Transfer,Partial Processing
TXN000167,22198994,38472272,231000,2026-07-23 10:00:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000168,44427137,22688084,93000,2026-07-23 10:10:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000169,68584270,71246214,92000,2026-07-23 10:20:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000170,74602498,59973460,695000,2026-07-23 10:30:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000171,99707594,98919251,81000,2026-07-23 10:40:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000172,36198761,22379645,403000,2026-07-23 10:50:00,Success,Failed,True,False,1,Bank Transfer,Beneficiary Mismatch
TXN000173,55972803,98331496,867000,2026-07-23 11:00:00,Success,Failed,True,False,0,Bank Transfer,Beneficiary Mismatch
TXN000174,30893988,35593450,392000,2026-07-23 11:10:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000175,36682862,31537173,656000,2026-07-23 11:20:00,Success,Failed,True,True,1,Bank Transfer,Partial Processing
TXN000176,40189944,41338375,997000,2026-07-23 11:30:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000177,36321218,33968198,436000,2026-07-23 11:40:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000178,11624762,32272395,543000,2026-07-23 11:50:00,Success,Pending,True,True,0,Bank Transfer,Pending Settlement
TXN000179,26054560,16527943,503000,2026-07-23 12:00:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000180,31845259,21001333,69000,2026-07-23 12:10:00,Success,Failed,True,False,1,Bank Transfer,Beneficiary Mismatch
TXN000181,30339769,86338060,915000,2026-07-23 12:20:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000182,65233548,84155485,164000,2026-07-23 12:30:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000183,93099765,80254817,546000,2026-07-23 12:40:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000184,55635955,38368487,268000,2026-07-23 12:50:00,Success,Failed,True,True,1,Bank Transfer,Partial Processing
TXN000185,73006483,58529262,109000,2026-07-23 13:00:00,Success,Pending,True,True,0,Bank Transfer,Pending Settlement
TXN000186,37809535,69066555,494000,2026-07-23 13:10:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000187,86581820,26665509,328000,2026-07-23 13:20:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000188,10650934,50267556,393000,2026-07-23 13:30:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000189,51408498,69334253,968000,2026-07-23 13:40:00,Success,Pending,True,True,0,Bank Transfer,Pending Settlement
TXN000190,54296917,88090258,834000,2026-07-23 13:50:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000191,58506298,56927673,760000,2026-07-23 14:00:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000192,12590324,57489256,852000,2026-07-23 14:10:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000193,60285666,83690606,420000,2026-07-23 14:20:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000194,32045554,99168002,692000,2026-07-23 14:30:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000195,65978451,81235686,908000,2026-07-23 14:40:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000196,29102404,64120607,256000,2026-07-23 14:50:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000197,74951037,17483287,796000,2026-07-23 15:00:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000198,17317421,31060927,274000,2026-07-23 15:10:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000199,57361666,82148023,517000,2026-07-23 15:20:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000200,28307392,58741369,980000,2026-07-23 15:30:00,Success,Pending,True,True,2,Bank Transfer,Pending Settlement
TXN000201,41887511,14105236,804000,2026-07-23 15:40:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000202,46927156,41287322,975000,2026-07-23 15:50:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000203,80748961,51767650,213000,2026-07-23 16:00:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000204,45307287,14151663,764000,2026-07-23 16:10:00,Success,Failed,True,True,1,Bank Transfer,Partial Processing
TXN000205,30066452,84424600,272000,2026-07-23 16:20:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000206,52756304,61617175,416000,2026-07-23 16:30:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000207,23975753,16816517,695000,2026-07-23 16:40:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000208,81686911,67112691,587000,2026-07-23 16:50:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000209,25151280,62968599,480000,2026-07-23 17:00:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000210,53801195,47383312,792000,2026-07-23 17:10:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000211,42278418,62316688,530000,2026-07-23 17:20:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000212,18731385,93074237,224000,2026-07-23 17:30:00,Success,Success,True,True,0,Bank Transfer,Successful Transfer
TXN000213,87670106,63508407,966000,2026-07-23 17:40:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000214,44802217,50673530,413000,2026-07-23 17:50:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000215,73815068,40765145,844000,2026-07-23 18:00:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000216,49025745,56912341,49000,2026-07-23 18:10:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
TXN000217,78968798,32809631,631000,2026-07-23 18:20:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
TXN000218,53460795,37456123,891000,2026-07-23 18:30:00,Failed,Failed,True,True,0,Bank Transfer,Insufficient Funds
